cityNameByCN,zoneNameByCN,zoneName,iso2,GMT
安道爾,歐洲/安道爾,Europe/Andorra,AD,2
杜拜,亞洲/杜拜,Asia/Dubai,AE,4
喀布爾,亞洲/喀布爾,Asia/Kabul,AF,4
安地卡及巴布達,美洲/安地卡及巴布達,America/Antigua,AG,-4
安圭拉島,美洲/安圭拉島,America/Anguilla,AI,-4
地拉那,歐洲/地拉那,Europe/Tirane,AL,2
耶烈萬,亞洲/耶烈萬,Asia/Yerevan,AM,4
盧安達,非洲/盧安達,Africa/Luanda,AO,1
布宜諾斯艾利斯,美洲/阿根廷/布宜諾斯艾利斯,America/Argentina/Buenos_Aires,AR,-3
卡塔馬卡,美洲/阿根廷/卡塔馬卡,America/Argentina/Catamarca,AR,-3
科爾多瓦,美洲/阿根廷/科爾多瓦,America/Argentina/Cordoba,AR,-3
胡胡伊,美洲/阿根廷/胡胡伊,America/Argentina/Jujuy,AR,-3
拉里奧哈,美洲/阿根廷/拉里奧哈,America/Argentina/La_Rioja,AR,-3
門多薩,美洲/阿根廷/門多薩,America/Argentina/Mendoza,AR,-3
里奧加耶戈斯,美洲/阿根廷/里奧加耶戈斯,America/Argentina/Rio_Gallegos,AR,-3
薩爾塔,美洲/阿根廷/薩爾塔,America/Argentina/Salta,AR,-3
聖胡安,美洲/阿根廷/聖胡安,America/Argentina/San_Juan,AR,-3
聖路易斯,美洲/阿根廷/聖路易斯,America/Argentina/San_Luis,AR,-3
圖庫曼,美洲/阿根廷/圖庫曼,America/Argentina/Tucuman,AR,-3
烏斯懷亞,美洲/阿根廷/烏斯懷亞,America/Argentina/Ushuaia,AR,-3
帕果帕果,太平洋/帕果帕果,Pacific/Pago_Pago,AS,-11
維也納,歐洲/維也納,Europe/Vienna,AT,2
阿德萊德,澳大利亞/阿德萊德,Australia/Adelaide,AU,10
布里斯班,澳大利亞/布里斯班,Australia/Brisbane,AU,10
布洛肯希爾,澳大利亞/布洛肯希爾,Australia/Broken_Hill,AU,10
柯里,澳大利亞/柯里,Australia/Currie,AU,11
達爾文,澳大利亞/達爾文,Australia/Darwin,AU,9
尤克拉,澳大利亞/尤克拉,Australia/Eucla,AU,8
霍巴特,澳大利亞/霍巴特,Australia/Hobart,AU,11
林德曼,澳大利亞/林德曼,Australia/Lindeman,AU,10
豪勳爵島,澳大利亞/豪勳爵島,Australia/Lord_Howe,AU,11
墨爾本,澳大利亞/墨爾本,Australia/Melbourne,AU,11
珀斯,澳大利亞/珀斯,Australia/Perth,AU,8
悉尼,澳大利亞/悉尼,Australia/Sydney,AU,11
阿魯巴,美洲/阿魯巴,America/Aruba,AW,-4
瑪麗港,歐洲/瑪麗港,Europe/Mariehamn,AX,3
巴庫,亞洲/巴庫,Asia/Baku,AZ,4
賽拉耶佛,歐洲/賽拉耶佛,Europe/Sarajevo,BA,2
巴巴多斯,美洲/巴巴多斯,America/Barbados,BB,-4
達卡,亞洲/達卡,Asia/Dhaka,BD,6
布魯塞爾,歐洲/布魯塞爾,Europe/Brussels,BE,2
瓦加杜古,非洲/瓦加杜古,Africa/Ouagadougou,BF,0
索非亞,歐洲/索非亞,Europe/Sofia,BG,3
巴林,亞洲/巴林,Asia/Bahrain,BH,3
布瓊布拉,非洲/布瓊布拉,Africa/Bujumbura,BI,2
波多諾伏,非洲/波多諾伏,Africa/Porto-Novo,BJ,1
聖巴托洛繆,美洲/聖巴托洛繆,America/St_Barthelemy,BL,-4
百慕達,大西洋/百慕達,Atlantic/Bermuda,BM,-3
