cityNameByCN,zoneName,zoneNameByCN,iso2,GMT,Null
安道爾,Europe/Andorra,歐洲/安道爾,AD,2,
杜拜,Asia/Dubai,亞洲/杜拜,AE,4,
喀布爾,Asia/Kabul,亞洲/喀布爾,AF,4,
安地卡及巴布達,America/Antigua,美洲/安地卡及巴布達,AG,-4,
安圭拉島,America/Anguilla,美洲/安圭拉島,AI,-4,
地拉那,Europe/Tirane,歐洲/地拉那,AL,2,
耶烈萬,Asia/Yerevan,亞洲/耶烈萬,AM,4,
盧安達,Africa/Luanda,非洲/盧安達,AO,1,
布宜諾斯艾利斯,America/Argentina/Buenos_Aires,美洲/阿根廷/布宜諾斯艾利斯,AR,-3,
卡塔馬卡,America/Argentina/Catamarca,美洲/阿根廷/卡塔馬卡,AR,-3,
科爾多瓦,America/Argentina/Cordoba,美洲/阿根廷/科爾多瓦,AR,-3,
胡胡伊,America/Argentina/Jujuy,美洲/阿根廷/胡胡伊,AR,-3,
拉里奧哈,America/Argentina/La_Rioja,美洲/阿根廷/拉里奧哈,AR,-3,
門多薩,America/Argentina/Mendoza,美洲/阿根廷/門多薩,AR,-3,
里奧加耶戈斯,America/Argentina/Rio_Gallegos,美洲/阿根廷/里奧加耶戈斯,AR,-3,
薩爾塔,America/Argentina/Salta,美洲/阿根廷/薩爾塔,AR,-3,
聖胡安,America/Argentina/San_Juan,美洲/阿根廷/聖胡安,AR,-3,
聖路易斯,America/Argentina/San_Luis,美洲/阿根廷/聖路易斯,AR,-3,
圖庫曼,America/Argentina/Tucuman,美洲/阿根廷/圖庫曼,AR,-3,
烏斯懷亞,America/Argentina/Ushuaia,美洲/阿根廷/烏斯懷亞,AR,-3,
帕果帕果,Pacific/Pago_Pago,太平洋/帕果帕果,AS,-11,
維也納,Europe/Vienna,歐洲/維也納,AT,2,
阿德萊德,Australia/Adelaide,澳大利亞/阿德萊德,AU,10,
布里斯班,Australia/Brisbane,澳大利亞/布里斯班,AU,10,
布洛肯希爾,Australia/Broken_Hill,澳大利亞/布洛肯希爾,AU,10,
柯里,Australia/Currie,澳大利亞/柯里,AU,11,
達爾文,Australia/Darwin,澳大利亞/達爾文,AU,9,
尤克拉,Australia/Eucla,澳大利亞/尤克拉,AU,8,
霍巴特,Australia/Hobart,澳大利亞/霍巴特,AU,11,
林德曼,Australia/Lindeman,澳大利亞/林德曼,AU,10,
豪勳爵島,Australia/Lord_Howe,澳大利亞/豪勳爵島,AU,11,
墨爾本,Australia/Melbourne,澳大利亞/墨爾本,AU,11,
珀斯,Australia/Perth,澳大利亞/珀斯,AU,8,
悉尼,Australia/Sydney,澳大利亞/悉尼,AU,11,
阿魯巴,America/Aruba,美洲/阿魯巴,AW,-4,
瑪麗港,Europe/Mariehamn,歐洲/瑪麗港,AX,3,
巴庫,Asia/Baku,亞洲/巴庫,AZ,4,
賽拉耶佛,Europe/Sarajevo,歐洲/賽拉耶佛,BA,2,
巴巴多斯,America/Barbados,美洲/巴巴多斯,BB,-4,
達卡,Asia/Dhaka,亞洲/達卡,BD,6,
布魯塞爾,Europe/Brussels,歐洲/布魯塞爾,BE,2,
瓦加杜古,Africa/Ouagadougou,非洲/瓦加杜古,BF,0,
索非亞,Europe/Sofia,歐洲/索非亞,BG,3,
巴林,Asia/Bahrain,亞洲/巴林,BH,3,
布瓊布拉,Africa/Bujumbura,非洲/布瓊布拉,BI,2,
波多諾伏,Africa/Porto-Novo,非洲/波多諾伏,BJ,1,
聖巴托洛繆,America/St_Barthelemy,美洲/聖巴托洛繆,BL,-4,
百慕達,Atlantic/Bermuda,大西洋/百慕達,BM,-3,
文萊,Asia/Brunei,亞洲/文萊,BN,8,
拉巴斯,America/La_Paz,美洲/拉巴斯,BO,-4,
博內爾,America/Kralendijk,美洲/博內爾,BQ,-4,
阿拉瓜伊納,America/Araguaina,美洲/阿拉瓜伊納,BR,-3,
巴伊亞,America/Bahia,美洲/巴伊亞,BR,-3,
貝倫,America/Belem,美洲/貝倫,BR,-3,
博阿維斯塔,America/Boa_Vista,美洲/博阿維斯塔,BR,-4,
大坎普,America/Campo_Grande,美洲/大坎普,BR,-4,
庫亞巴,America/Cuiaba,美洲/庫亞巴,BR,-4,
艾魯內佩,America/Eirunepe,美洲/艾魯內佩,BR,-5,
福塔萊薩,America/Fortaleza,美洲/福塔萊薩,BR,-3,
馬賽約,America/Maceio,美洲/馬賽約,BR,-3,
馬瑙斯,America/Manaus,美洲/馬瑙斯,BR,-4,
奧諾羅尼亞,America/Noronha,美洲/奧諾羅尼亞,BR,-2,
波多韋柳,America/Porto_Velho,美洲/波多韋柳,BR,-4,
累西腓,America/Recife,美洲/累西腓,BR,-3,
里奧布朗庫,America/Rio_Branco,美洲/里奧布朗庫,BR,-5,
桑特萊,America/Santarem,美洲/桑特萊,BR,-3,
聖保羅,America/Sao_Paulo,美洲/聖保羅,BR,-3,
拿騷,America/Nassau,美洲/拿騷,BS,-4,
廷布,Asia/Thimphu,亞洲/廷布,BT,6,
嘉柏隆里,Africa/Gaborone,非洲/嘉柏隆里,BW,2,
明斯克,Europe/Minsk,歐洲/明斯克,BY,3,
伯利茲,America/Belize,美洲/伯利茲,BZ,-6,
阿蒂科肯,America/Atikokan,美洲/阿蒂科肯,CA,-5,
相思,America/Blanc-Sablon,美洲/相思,CA,-4,
劍橋灣,America/Cambridge_Bay,美洲/劍橋灣,CA,-6,
克雷斯頓,America/Creston,美洲/克雷斯頓,CA,-7,
道森,America/Dawson,美洲/道森,CA,-7,
道森克里克,America/Dawson_Creek,美洲/道森克里克,CA,-7,
埃德蒙頓,America/Edmonton,美洲/埃德蒙頓,CA,-6,
格萊斯貝,America/Glace_Bay,美洲/格萊斯貝,CA,-3,
鵝灣,America/Goose_Bay,美洲/鵝灣,CA,-3,
哈利法克斯,America/Halifax,美洲/哈利法克斯,CA,-3,
伊努維克,America/Inuvik,美洲/伊努維克,CA,-6,
伊卡瑞特,America/Iqaluit,美洲/伊卡瑞特,CA,-4,
蒙克頓,America/Moncton,美洲/蒙克頓,CA,-3,
蒙特利爾,America/Montreal,美洲/蒙特利爾,CA,-4,
尼皮貢,America/Nipigon,美洲/尼皮貢,CA,-4,
潘尼爾東,America/Pangnirtung,美洲/潘尼爾東,CA,-4,
雨河,America/Rainy_River,美洲/雨河,CA,-5,
蘭進,America/Rankin_Inlet,美洲/蘭進,CA,-5,
里賈納,America/Regina,美洲/里賈納,CA,-6,
雷索盧特,America/Resolute,美洲/雷索盧特,CA,-5,
聖約翰斯,America/St_Johns,美洲/聖約翰斯,CA,-2,
斯威夫特卡倫特,America/Swift_Current,美洲/斯威夫特卡倫特,CA,-6,
桑德灣,America/Thunder_Bay,美洲/桑德灣,CA,-4,
加拿大多倫多,America/Toronto,美洲/加拿大多倫多,CA,-4,
溫哥華,America/Vancouver,美洲/溫哥華,CA,-7,
懷特霍爾斯,America/Whitehorse,美洲/懷特霍爾斯,CA,-7,
溫尼伯,America/Winnipeg,美洲/溫尼伯,CA,-5,
耶洛奈夫,America/Yellowknife,美洲/耶洛奈夫,CA,-6,
科科斯,Indian/Cocos,印度洋/科科斯,CC,6,
金沙薩,Africa/Kinshasa,非洲/金沙薩,CD,1,
盧本巴希,Africa/Lubumbashi,非洲/盧本巴希,CD,2,
班吉,Africa/Bangui,非洲/班吉,CF,1,
布拉柴維爾,Africa/Brazzaville,非洲/布拉柴維爾,CG,1,
蘇黎世,Europe/Zurich,歐洲/蘇黎世,CH,2,
阿比讓,Africa/Abidjan,非洲/阿比讓,CI,0,
拉羅湯加,Pacific/Rarotonga,太平洋/拉羅湯加,CK,-10,
聖地亞哥,America/Santiago,美洲/聖地亞哥,CL,-3,
復活島,Pacific/Easter,太平洋/復活島,CL,-5,
杜阿拉,Africa/Douala,非洲/杜阿拉,CM,1,
重慶,Asia/Chongqing,亞洲/重慶,CN,8,
哈爾濱,Asia/Harbin,亞洲/哈爾濱,CN,8,
喀什葛爾,Asia/Kashgar,亞洲/喀什葛爾,CN,6,
上海,Asia/Shanghai,亞洲/上海,CN,8,
